size,nr,nc,rc
4,2,2,0.187500
6,3,2,0.119792
9,3,3,0.042535
8,2,2,0.046875
8,4,2,0.065104
10,5,2,0.029036
12,3,2,0.021647
12,4,3,0.014296
12,2,2,0.011719
12,3,2,0.021647
12,6,2,0.011513
15,5,3,0.004409
16,2,2,0.002930
16,4,2,0.009623
16,4,4,0.003101
18,3,2,0.004603
18,3,3,0.003655
18,6,3,0.001241
20,5,2,0.003350
20,5,4,0.000657
24,2,2,0.000183
24,2,4,0.002062
24,3,2,0.001061
24,3,4,0.000894
24,6,2,0.000939
24,6,4,0.000136
25,5,5,0.000098
30,2,5,0.000691
30,3,5,0.000248
30,6,5,0.000015
36,2,2,0.000003
36,3,2,0.000062
36,3,3,0.000045
36,6,2,0.000178
36,6,3,0.000061
36,6,6,0.000002
