range,mr-n,mr-c,mrd-n,mrd-c,mrr-n,mrr-c,mrr-op-n,mrr-op-c,mrr-cs-n,mrr-cs-c
{$0$\enspace---\enspace$10.0 \cdot 10^3$}, 595, 1.000000, 191, 1.000000, 102, 1.000000, 102, 1.000000, 100, 1.000000
{$10.0 \cdot 10^3$\enspace---\enspace$2.0 \cdot 10^4$}, 203, 1.000000, 83, 1.000000, 67, 1.000000, 67, 1.000000, 66, 1.000000
{$2.0 \cdot 10^4$\enspace---\enspace$4.0 \cdot 10^4$}, 227, 1.000000, 89, 1.000000, 88, 1.000000, 88, 1.000000, 88, 1.000000
{$4.0 \cdot 10^4$\enspace---\enspace$8.0 \cdot 10^4$}, 273, 1.000000, 149, 0.979866, 146, 1.000000, 146, 1.000000, 139, 1.000000
{$8.0 \cdot 10^4$\enspace---\enspace$1.6 \cdot 10^5$}, 231, 1.000000, 196, 0.984694, 175, 1.000000, 175, 1.000000, 173, 0.976879
{$1.6 \cdot 10^5$\enspace---\enspace$3.2 \cdot 10^5$}, 208, 1.000000, 246, 1.000000, 223, 0.923767, 223, 0.955157, 225, 0.920000
{$3.2 \cdot 10^5$\enspace---\enspace$6.4 \cdot 10^5$}, 184, 1.000000, 250, 0.972000, 239, 0.828452, 239, 0.857741, 237, 0.717300
{$6.4 \cdot 10^5$\enspace---\enspace$1.3 \cdot 10^6$}, 151, 0.986755, 272, 0.941176, 253, 0.640316, 253, 0.758893, 258, 0.500000
{$1.3 \cdot 10^6$\enspace---\enspace$2.6 \cdot 10^6$}, 136, 0.970588, 255, 0.831373, 250, 0.404000, 250, 0.476000, 242, 0.297521
{$2.6 \cdot 10^6$\enspace---\enspace$5.1 \cdot 10^6$}, 102, 0.421569, 234, 0.675214, 238, 0.294118, 238, 0.327731, 236, 0.177966
{$5.1 \cdot 10^6$\enspace---\enspace$1.0 \cdot 10^7$}, 55, 0.272727, 207, 0.497585, 236, 0.152542, 236, 0.186441, 243, 0.119342
{$1.0 \cdot 10^7$\enspace---\enspace$2.0 \cdot 10^7$}, 25, 0.080000, 144, 0.361111, 182, 0.065934, 182, 0.109890, 188, 0.047872
{$2.0 \cdot 10^7+$}, 1, 0.000000, 75, 0.120000, 190, 0.052632, 192, 0.062500, 196, 0.056122
